Sl. No.,Heads of Crime,For 2025
18,BONDED LABOUR SYSTEM,14
19,INDIAN MOTOR VEHICLE,65
20,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,
,Cultivated/Processed,3151
,Synthetic,3674
,Sub Total,6825
21,PASSPORT ACT,
,Foreigner,2
,Indian,4
,Sub Total,6
22,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,
,Assembly,0
,Parliament,1
,Other Elected Bodies,1
,Sub Total,2
23,KARNATAKA POLICE ACT 1963,
,Gambling - Matka (78 Class C),6506
,Street Gambling (87),7365
,House Gambling (79 & 80),262
,Betting,601
,Others,523
,Sub Total,15257
24,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,130
25,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",1
26,OFFICIAL SECURITY RELATED ACTS,
,Official Secrets Act 1923,2
,Essential Services Maintenance Act 1981,0
,Sub Total,2
27,PREVENTION OF TERRORISM ACT (POTA),0
28,RAILWAYS ACT,
,Indian Railways Act 1989,6
,Railway Property (Unlawful Possession) Act 1966,0
,Sub Total,6
29,UNLAWFUL ACTIVITIES (Prevention) Act 1967,1
30,CRIMES RELATED TO WOMEN,
,Dowry Prohibition,2028
,Commission of SATI (Prevention) Act 1987,0
,Indecent Representation of Women (Prohibition) Act 1986,1
,Sub Total,2029
31,INDIAN LUNACY ACT,0
32,INDIAN ELECTRICITY ACT,12
33,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",3178
34,KARNATAKA STATE LOCAL ACTS,
,Prevention of Insult to National Hounours Act 1971,11
,"Prevention of violence against Doctors, Medical professionals and Medical institutions",13
,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",1
,Karnataka Cow Slaughters Act,213
,Banning of Unregulated Deposit Schemes Act,23
,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0
,Karnataka Epidemic Deseases Act 2020,0
,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,253
,Disaster Management Act 2005,0
,Karnataka Excise Act 1965,10089
,Karnataka Forest Act 1963,74
,Karnataka Education Act 1983 As Amended Upto Date,2
,Karnataka Kerosene Restriction Unuse Act 1956,0
,Karnataka University Act,0
,Karnataka Corruption Act,0
,Karnataka Medical Registration Act 1965,4
,Karnataka Land & Revenue Act 1964 & 2007,38
,Karnataka Kerosene Dealers License Order 1969,0
,Karnataka Society Registration Act,0
,Karnataka Minor Mineral Consistent Rule 1994,22
,Bangalore Development Authority Act,0
,Karnataka Prohibition of Beggery Act 1975,63
,Karnataka Municipalities Act 1964,1
,Karnataka Irrigation Act 1963,4
,Karnataka Fire Force act 1964,5
,Karnataka Consumer Protection Act 1986,0
,Karnataka Lottery Act,71
,Karnataka Weight & Measurement Act,0
,Karnataka Agriculture Marketing Regulation Act,0
,Karnataka Revenue Act,1
,Karnataka Mining Act,2
,Karnataka Betting Tax Act,0
,Karnataka Panchayat Raj Act,1
,Karnataka Open Place Disfigurement Act 1951,719
,Karnataka Right To Information Act 2000 & 2008,1
,Karnataka Urban Development Act 1987,0
,Karnataka Town & City Planning Act 1961,0
,Karnataka Race Betting Act,0
,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,0
,Cooperative Society Act,1
,Karnataka Entertainment Tax Act 1958,7
,Karnataka Land Acquisition (Prohibition) Act 2007,0
,Karnataka Money Lender Act 1961,18
,Karnataka Stamp Act 1957,0
,Karnataka Prisoners Act 1963 & 1974,93
,Karnataka Private Medical Institution Act 2007,9
,MMRD (Mines & Minerals Regulation Development ) Act 1957,86
,Karnataka Treasure Trove Act 1962,6
,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,20
,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0
,Other Local Acts,172
,The Karnataka Micro Loan And Small Loan (Prevention of Coercive Actions) Ordinance 2025,21
,Sub Total,12044
35,CYBER CRIME (INFORMATION TECHNOLOGY ACT),
,"Information Technology Act 2000, 2009",130
,CSAM (Child Pornography). Cyber Tip Line,37
,Online Money Transfer,1564
,Credit Card Fraud,780
,Loan App,210
,"Ransomeware Attack, Installing Spyware & Troman, Using Other Malware & Viruses to infect degital serv",10
,"Gifts, iPhone & Lottery Fraud",130
,Deep Fake/Deep Nudes,41
,"Investment Fraud (Part Time Job, Task, Review)",2666
,Card Skimming,6
,Job Fraud,643
,Business Fraud,165
,Hacking of Accounts & Ids,228
,Phishing (Taking Password & Information),50
,Email Spoofing / Fraud,49
,SIM card Swapping / SIM Jacking / SIM Cloning,22
,Social Media Cases (Instagram/Facebook/Whatsapp/X /Telegram etc),566
,"Crypto Currency, Bitcoin, etc.",73
,Remote Access Fraud (Any Desk/ Team Viewer),10
,OLX Fraud,187
,Data Theft,67
,Fedex,30
,"OTP Frauds (KYC Update, Apk Link)",944
,Matrimony Fraud,115
,Sextortion and Revenge Porn,104
,Advertising Frauds,68
,Investment Fraud (Trading & Share Trading),3489
,Fake Customer Care,325
,ATM Fraud,19
,Digital Arrest,346
,AEPS (Aadhaar),3
,Others,1808
,Sub Total,14885
36,NATIONAL SECURITY ACT,0
37,POCSO,
,Gang Rape,16
,Custodial Rape,1
,Rape with Murder,2
,Rape,3288
,Others,1248
,Sub Total,4555
38,Aadhar Act,
,Impersonation,0
,Offence by Individual,1
,Offence by Company,0
,Sub Total,1
,Total (Item 1 to 36),64361
